date,open,high,low,close,volume,average,barCount
2022-12-08 20:03:30,147.28,147.28,147.09,147.25,1338.44,147.187,807
2022-12-08 20:04:00,147.25,147.36,147.18,147.24,1734.31,147.267,1074
2022-12-08 20:04:30,147.24,147.45,147.17,147.38,1182.04,147.331,745
2022-12-08 20:05:00,147.41,147.47,147.2,147.37,1910.53,147.333,1142
2022-12-08 20:05:30,147.34,147.4,147.25,147.29,733.58,147.286,505
2022-12-08 20:06:00,147.28,147.38,147.18,147.22,1292.04,147.25,621
2022-12-08 20:06:30,147.21,147.24,147.0,147.02,1906.56,147.094,1031
2022-12-08 20:07:00,147.03,147.06,146.9,146.99,3044.45,146.995,1127
2022-12-08 20:07:30,146.98,147.23,146.98,147.08,1338.11,147.119,782
2022-12-08 20:08:00,147.07,147.19,147.0,147.02,1203.06,147.09,705
2022-12-08 20:08:30,147.02,147.03,146.77,146.82,2283.21,146.843,1255
2022-12-08 20:09:00,146.81,146.9,146.67,146.7,2256.23,146.759,1051
2022-12-08 20:09:30,146.72,146.8,146.68,146.69,952.52,146.724,575
2022-12-08 20:10:00,146.68,146.82,146.51,146.75,3044.87,146.649,1690
2022-12-08 20:10:30,146.75,146.82,146.66,146.67,953.79,146.743,529
2022-12-08 20:11:00,146.66,146.9,146.64,146.84,1574.01,146.775,985
2022-12-08 20:11:30,146.84,146.95,146.8,146.87,1401.2,146.884,663
2022-12-08 20:12:00,146.86,146.9,146.74,146.85,1541.86,146.805,830
2022-12-08 20:12:30,146.86,146.91,146.79,146.88,886.14,146.866,552
2022-12-08 20:13:00,146.88,146.92,146.71,146.73,1460.93,146.852,780
2022-12-08 20:13:30,146.74,146.87,146.66,146.84,1179.71,146.757,611
2022-12-08 20:14:00,146.84,146.85,146.66,146.66,807.43,146.768,482
2022-12-08 20:14:30,146.66,146.78,146.53,146.75,1706.33,146.623,796
2022-12-08 20:15:00,146.75,146.83,146.53,146.56,1514.45,146.658,818
2022-12-08 20:15:30,146.58,146.69,146.55,146.61,970.82,146.605,494
2022-12-08 20:16:00,146.61,146.71,146.59,146.69,893.56,146.661,461
2022-12-08 20:16:30,146.69,146.84,146.69,146.84,1265.0,146.763,550
2022-12-08 20:17:00,146.83,146.91,146.78,146.88,1205.89,146.845,528
2022-12-08 20:17:30,146.87,146.92,146.82,146.89,1122.81,146.888,616
2022-12-08 20:18:00,146.89,147.31,146.89,147.22,2925.37,147.102,1490
2022-12-08 20:18:30,147.23,147.41,147.2,147.35,2159.56,147.337,843
2022-12-08 20:19:00,147.34,147.35,147.18,147.35,1810.61,147.261,920
2022-12-08 20:19:30,147.34,147.34,147.2,147.2,1220.77,147.269,597
2022-12-08 20:20:00,147.2,147.26,146.86,146.87,1583.35,147.014,812
2022-12-08 20:20:30,146.87,147.04,146.82,147.01,1434.4,146.944,884
2022-12-08 20:21:00,147.0,147.04,146.93,147.02,822.17,146.976,467
2022-12-08 20:21:30,147.02,147.09,146.85,147.07,1626.66,146.975,1053
2022-12-08 20:22:00,147.06,147.11,146.95,147.01,1000.94,147.04,527
2022-12-08 20:22:30,147.01,147.29,147.01,147.28,1100.67,147.17,661
2022-12-08 20:23:00,147.27,147.38,147.23,147.29,1346.31,147.308,693
2022-12-08 20:23:30,147.28,147.46,147.28,147.44,1510.83,147.369,692
2022-12-08 20:24:00,147.44,147.47,147.25,147.43,2228.29,147.389,1036
2022-12-08 20:24:30,147.42,147.48,147.32,147.44,1013.78,147.4,484
2022-12-08 20:25:00,147.44,147.66,147.42,147.54,1865.47,147.541,869
2022-12-08 20:25:30,147.53,147.95,147.53,147.81,2511.91,147.695,1260
2022-12-08 20:26:00,147.82,147.83,147.62,147.75,1887.32,147.727,989
2022-12-08 20:26:30,147.75,147.77,147.51,147.54,1666.24,147.663,981
2022-12-08 20:27:00,147.51,147.55,147.36,147.44,1765.54,147.472,1031
2022-12-08 20:27:30,147.45,147.5,147.27,147.35,1216.61,147.397,534
2022-12-08 20:28:00,147.35,147.39,147.22,147.37,946.89,147.304,476
2022-12-08 20:28:30,147.37,147.5,147.36,147.38,1048.47,147.421,470
2022-12-08 20:29:00,147.39,147.41,147.2,147.4,958.99,147.321,491
2022-12-08 20:29:30,147.4,147.45,147.33,147.37,658.43,147.398,353
2022-12-08 20:30:00,147.38,147.44,147.17,147.19,1362.97,147.277,765
2022-12-08 20:30:30,147.18,147.3,147.06,147.14,1035.64,147.191,614
2022-12-08 20:31:00,147.15,147.31,147.09,147.21,873.81,147.2,408
2022-12-08 20:31:30,147.21,147.33,147.15,147.17,839.2,147.247,476
2022-12-08 20:32:00,147.18,147.39,147.1,147.31,1221.11,147.253,772
2022-12-08 20:32:30,147.31,147.4,147.2,147.29,810.07,147.309,399
2022-12-08 20:33:00,147.21,147.35,147.04,147.22,1331.02,147.187,945
2022-12-08 20:33:30,147.21,147.45,147.18,147.4,1656.59,147.339,1026
2022-12-08 20:34:00,147.39,147.64,147.37,147.6,1379.25,147.475,694
2022-12-08 20:34:30,147.59,147.78,147.52,147.78,1628.81,147.649,755
2022-12-08 20:35:00,147.78,147.8,147.55,147.66,1398.72,147.677,817
2022-12-08 20:35:30,147.64,147.72,147.52,147.69,1125.39,147.618,495
2022-12-08 20:36:00,147.71,147.87,147.69,147.73,1466.11,147.805,601
2022-12-08 20:36:30,147.72,147.74,147.55,147.57,1188.43,147.659,760
2022-12-08 20:37:00,147.58,147.74,147.55,147.71,1080.24,147.662,458
2022-12-08 20:37:30,147.7,147.71,147.52,147.55,983.32,147.59,478
2022-12-08 20:38:00,147.54,147.7,147.53,147.59,1105.06,147.61,504
2022-12-08 20:38:30,147.6,147.61,147.37,147.43,1631.23,147.476,741
2022-12-08 20:39:00,147.43,147.53,147.37,147.48,1088.13,147.438,508
2022-12-08 20:39:30,147.48,147.71,147.48,147.6,1237.93,147.616,577
2022-12-08 20:40:00,147.6,147.68,147.54,147.63,1079.48,147.621,569
2022-12-08 20:40:30,147.63,147.66,147.4,147.42,1457.19,147.569,727
2022-12-08 20:41:00,147.41,147.52,147.22,147.25,1264.95,147.363,631
2022-12-08 20:41:30,147.26,147.29,147.13,147.17,1074.91,147.197,593
2022-12-08 20:42:00,147.17,147.63,147.17,147.6,1675.87,147.439,954
2022-12-08 20:42:30,147.61,147.62,147.47,147.52,870.82,147.542,457
2022-12-08 20:43:00,147.53,147.69,147.5,147.57,1224.96,147.597,506
2022-12-08 20:43:30,147.56,147.69,147.48,147.56,1072.65,147.602,561
2022-12-08 20:44:00,147.54,147.85,147.51,147.82,1208.67,147.723,721
2022-12-08 20:44:30,147.82,148.12,147.82,148.11,3529.97,148.031,1523
2022-12-08 20:45:00,148.1,148.27,148.0,148.17,2275.8,148.138,1168
2022-12-08 20:45:30,148.18,148.22,147.99,148.06,2193.47,148.114,1075
2022-12-08 20:46:00,148.06,148.07,147.93,147.93,1975.99,148.012,1074
2022-12-08 20:46:30,147.92,147.95,147.67,147.8,1450.96,147.785,723
2022-12-08 20:47:00,147.8,147.86,147.66,147.67,1036.15,147.753,516
2022-12-08 20:47:30,147.68,147.79,147.6,147.66,1489.76,147.704,721
